Designator,Mid X,Mid Y,Layer,Rotation
BAT1,32.3,24,top,90
C1,33.2065,29.462,top,0
C2,18.157,34.034,top,90
C3,18.157,32.002,top,-90
C4,29.46,39.114,top,0
C5,17.649,36.066,top,180
C6,26.666,41.527,top,90
C7,23.11,44.321,top,0
C8,12.823,44.575,top,-90
C9,12.314999,61.339,top,0
C10,19.25,14.75,top,-90
CHARGING1,12.823,32.51,top,-90
D1,16.76,27.43,top,90
D2,28.698,42.797,top,90
D3,32.635,37.844,top,0
D4,16.379,39.622,top,90
D5,14.093,39.622,top,-90
FET1,31.873,41.527,top,180
FID1,31.365,44.575,top,0
FID2,14.855,44.575,top,0
FID3,28.19,69.975,top,0
FID4,7,68,top,0
J1,22.25,2.5,top,0
J2,2.5,59.6,top,90
L1,19.808,42.797,top,90
Q1,15.998,33.061,top,-90
Q2,29.968,33.78,top,90
Q3,33.143,33.78,top,90
R1,26.92,44.1305,top,90
R2,12.823,59.815,top,90
R3,12.823,35.177,top,90
R4,32.762,30.859,top,0
R5,12.315,62.862999,top,180
R6,15.617,36.066,top,0
R8,29.206,36.701,top,0
R9,29.206,37.59,top,0
R10,31.619,32.129,top,180
R11,25.142,44.1305,top,90
R12,26.031,44.1305,top,90
R13,12.823,68.832,top,-90
R14,16.492,17.6,top,0
R15,12.315,65.784,top,0
R16,12.315,64.26,top,180
R17,18.538,39.749,top,180
RST1,13.585,27.43,top,-90
U1,29.587,30.224,top,180
U2,23.364,35.812,top,-90
U3,23.618,41.781,top,180
U4,2.5,68,top,0
U5,23.11,62.228,top,0
X1,22.25,20,top,-90
